vom,von dem (contraction),Der Brief kommt vom Freund.,1536166101.8413398,5
von,+ dative. From*^* of*^* by,Der Brief kommt von meinem Freund.,1525183182.8946261,6
von,+ dative. about,Wir sprechen von den Dichtern und Wissenschaftlern.,1525183219.248901,7
vor,+ dative or accusative. before*^* in front of*^* ago (time),Du stehst vor dem Haus. Du gehst vor das Haus,1536165609.8246417,3
vors,vor das (contraction),[no example],1534631941.7113316,4
wahr,true,Ist es wahr?,1536265706.43433,1
wahrscheinlich,probably,Wir müssen wahrscheinlich wissen*^* was Deutschland einmal war.,1534956536.729368,1
wallen,to float,Nieder wallen auch die Träume.,1535068931.7657719,1
was für,what,Freud und Jung zeigen uns*^* was für unglaublich primitive Instinkte in uns schlummern.,1536166082.2178557,7
was für ein,what kind of a...,Was für eine Macht haben die Ideen von Marx und Engels über die heutige Welt?,1534873106.493433,7
wegen,+ genitive. on account of*^* because of,Wegen meiner Freunde bleibe ich hier.,1536075525.0312202,3
wenig,little,Das Kind ist wenig.,1534777142.6913967,7
wenn,when or if,Wenn wir die landkarte wieder anschauen...,1536075440.6880975,2
wer,whoever*^* who,Wer nicht mit mir ist*^* ist wider mich.,1534952555.7383215,2
werfen,to throw,Wir werfen den Ball übers Haus.,1536074603.8499935,3
wertfolle,valuable,wertfolle Gelt,1534615702.3655853,8
wichtig,important,Ich bin nicht wichtig.,1534710988.1582117,4
wider,+ accusative. against,Das ist wider meine Natur.,1535988423.37197,3
wieder,again,Wieder gibt es Krieg.,1534951677.7512333,8
wirklich,really,Gibt es wirklich neutrale Länder?,1535988580.276975,7
wohl,surely*^* truly,Ich bin wohl ein Man.,1536265702.2298706,1
worauf,on what?,Worauf gründete er seine Theorie?,1536265489.9516673,2
während,+ genitive. during,Während des Tages schläft er.,1534872271.509467,1
zeigen,to point out,Was zeigen uns Jung und Freud heute?,1536165785.8697066,9
zerschnitten,to cut into pieces,Berlin*^* die ehemalige Haputstadt*^* liegt auch in zwei Teile zerschnitten.,1536166072.1383703,0
zu,+ dative. to,Was sagte er zu Ihnen?,1535068641.8525128,2
zugleich,at the same time,Ich bin jung*^* zugliech alt.,1536075215.2367072,1
zum,zu dem (contraction),Wir fahren zum Kind.,1534710907.259567,5
zum Beispiel,for example,es gibt andere Länder*^* zum Beispeil Deutschland und Österreich...,1534872128.9898565,7
zum Teil,in part,Deutschland ist ein Land*^* von germanischen Völkern bewohnt und zum Teil von einer gemeinsamen Sprache vereint.,1534615982.9770403,4
zur,zu der (contraction),Die deutsche Kultur hat beigetragen viel zur Geschichte der Musik.,1536074614.8254046,9
zusammen,together,Wir werden zusammen kommen.,1534615753.8133383,9
zwischen,between,Der Rio Grande ist die Grenze zwischen den USA und Mexiko.,1534776630.233678,7
über,+ dative or accusative. above*^* over*^* about*^* across,Wir fliegen üben den Bergen. Wir fliegen über die Berge.,1536165806.103217,2
übers,über das (contraction),[no example],1535988388.4402685,6
